seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far,seed_label,loss_success,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
157,seed157,True,10.135015470717011,success,2469.2746982574463,79,147,seed157,True,True,False,False,False,False,
140,seed140,False,54.93121976536931,max_epochs,6039.476577043533,79,148,seed140,False,True,True,False,False,True,
141,seed141,False,102.9672775639774,max_epochs,6218.687118053436,79,149,seed141,False,True,False,False,False,False,
142,seed142,False,108.69325101265036,max_epochs,5927.222724676132,79,150,seed142,False,True,False,False,False,False,
165,seed165,True,10.4776490747132,success,866.555068731308,80,151,seed165,True,True,True,False,False,True,
145,seed145,True,19.76147337710633,success,5767.298143863678,81,152,seed145,True,True,True,False,False,True,
160,seed160,True,11.048641311949572,success,2427.7185056209564,82,153,seed160,True,True,False,False,False,False,
144,seed144,False,106.28126979258424,max_epochs,5945.143817186356,82,154,seed144,False,True,False,False,False,False,
162,seed162,True,17.634574658819464,success,1786.7211174964905,83,155,seed162,True,True,True,False,False,True,
146,seed146,False,101.05642432904676,max_epochs,6000.186584234238,83,156,seed146,False,True,False,False,False,False,
170,seed170,True,16.415534642642804,success,1202.066242933273,84,157,seed170,True,True,True,False,False,True,
173,seed173,True,19.037168431935328,success,1179.6859278678894,85,158,seed173,True,True,True,False,False,True,
161,seed161,True,13.829780175205208,success,3434.4319593906403,86,159,seed161,True,True,False,False,False,False,
148,seed148,False,110.85534894961364,max_epochs,6005.87625670433,86,160,seed148,False,True,False,False,False,False,
174,seed174,True,19.823049092125324,success,1443.9556739330292,87,161,seed174,True,True,True,False,False,True,
150,seed150,False,61.0004383427033,max_epochs,6040.246842384338,87,162,seed150,False,True,False,False,False,False,
152,seed152,False,27.698537539900883,max_epochs,5963.782379627228,87,163,seed152,False,True,False,False,False,False,
153,seed153,False,35.79642452979977,max_epochs,5941.721055746079,87,164,seed153,False,True,True,False,False,True,
154,seed154,False,110.8225261617106,max_epochs,5960.760498523712,87,165,seed154,False,True,False,False,False,False,
156,seed156,False,72.13795028051592,max_epochs,5938.079293012619,87,166,seed156,False,True,False,False,False,False,
167,seed167,True,17.968935231065124,success,3323.1325788497925,88,167,seed167,True,True,True,False,False,True,
179,seed179,True,17.834048704349414,success,1348.816227197647,89,168,seed179,True,True,True,False,False,True,
180,seed180,True,19.414991779118186,success,885.076826095581,90,169,seed180,True,True,True,False,False,True,
168,seed168,True,15.463311508948838,success,3286.9992775917053,91,170,seed168,True,True,True,False,False,True,
166,seed166,True,18.93193428205405,success,3636.460475921631,92,171,seed166,True,True,True,False,False,True,
159,seed159,False,43.56893946081987,max_epochs,5954.634346246719,92,172,seed159,False,True,False,False,False,False,
187,seed187,True,16.82241080239433,success,911.8360304832458,93,173,seed187,True,True,True,False,False,True,
175,seed175,True,11.805238471022856,success,3299.568425655365,94,174,seed175,True,True,False,False,False,False,
163,seed163,False,100.51012782123787,max_epochs,6042.36356139183,94,175,seed163,False,True,False,False,False,False,
188,seed188,True,17.81356145165678,success,2027.5092778205872,95,176,seed188,True,True,False,False,False,False,
164,seed164,False,100.7283181518098,max_epochs,6110.23420548439,95,177,seed164,False,True,False,False,False,False,
191,seed191,True,19.27513654031383,success,2427.930034637451,96,178,seed191,True,True,True,False,False,True,
169,seed169,False,41.90594300418657,max_epochs,6207.8512489795685,96,179,seed169,False,True,False,False,False,False,
182,seed182,True,19.75172535560017,success,3942.601157426834,97,180,seed182,True,True,False,False,False,False,
193,seed193,True,19.95442308973923,success,1737.1586158275604,98,181,seed193,True,True,True,False,False,True,
171,seed171,False,32.89508107435295,max_epochs,6150.48281121254,98,182,seed171,False,True,False,False,False,False,
172,seed172,False,110.65354883640413,max_epochs,6283.53968167305,98,183,seed172,False,True,False,False,False,False,
194,seed194,True,19.43419347510961,success,1503.7405896186829,99,184,seed194,True,True,True,False,False,True,
189,seed189,True,18.50611134072095,success,3472.9936287403107,100,185,seed189,True,True,True,False,False,True,
199,seed199,True,16.186712083968228,success,1022.2849531173706,101,186,seed199,True,True,True,False,False,True,
176,seed176,False,110.62683624499778,max_epochs,6212.542967796326,101,187,seed176,False,True,False,False,False,False,
204,seed204,True,12.953060414547664,success,1015.5283703804016,102,188,seed204,True,True,True,False,False,True,
177,seed177,False,107.75439228501168,max_epochs,6191.22883939743,102,189,seed177,False,True,False,False,False,False,
178,seed178,False,110.649978286047,max_epochs,6357.0083639621735,102,190,seed178,False,True,False,False,False,False,
181,seed181,True,13.590933330308369,success,5700.229545354843,103,191,seed181,True,True,True,False,False,True,
208,seed208,True,19.537360945578783,success,942.6123628616332,104,192,seed208,True,True,True,False,False,True,
183,seed183,False,100.19933402806836,max_epochs,6307.839141130447,104,193,seed183,False,True,False,False,False,False,
203,seed203,True,17.423359416712188,success,2258.217388868332,105,194,seed203,True,True,False,False,False,False,
185,seed185,False,110.8219053660713,max_epochs,6284.007843017578,105,195,seed185,False,True,False,False,False,False,
207,seed207,True,10.54716074374662,success,1266.2891237735748,106,196,seed207,True,True,True,False,False,True,
184,seed184,False,21.039223814020648,max_epochs,6527.580631017685,106,197,seed184,False,True,False,False,False,False,
200,seed200,True,18.071198538652563,success,2804.045517921448,107,198,seed200,True,True,True,False,False,True,
186,seed186,False,110.73007551531816,max_epochs,6254.728025913239,107,199,seed186,False,True,False,False,False,False,
190,seed190,False,103.92680840890888,max_epochs,6223.510659456253,107,200,seed190,False,True,False,False,False,False,
213,seed213,True,14.578922664444496,success,847.8777148723602,108,201,seed213,True,True,True,False,False,True,
192,seed192,False,103.30342282094526,max_epochs,6176.263724088669,108,202,seed192,False,True,False,False,False,False,
211,seed211,True,10.018387306428224,success,2460.8913741111755,109,203,seed211,True,True,True,False,False,True,
195,seed195,False,55.73149906773705,max_epochs,6229.794130325317,109,204,seed195,False,True,True,False,False,True,
196,seed196,False,106.00934774538965,max_epochs,6077.925759315491,109,205,seed196,False,True,False,False,False,False,
217,seed217,True,17.83166709884106,success,2901.8140194416046,110,206,seed217,True,True,False,False,False,False,
197,seed197,False,110.72894567735412,max_epochs,6084.348122835159,110,207,seed197,False,True,False,False,False,False,
222,seed222,True,14.475339311197835,success,1131.3381650447843,111,208,seed222,True,True,True,False,False,True,
201,seed201,False,52.375565207855,max_epochs,5990.505939245224,111,209,seed201,False,True,False,False,False,False,
198,seed198,False,73.88069110156945,max_epochs,6315.352195501328,111,210,seed198,False,True,False,False,False,False,
214,seed214,True,17.21419392228969,success,3574.9317150115967,112,211,seed214,True,True,False,False,False,False,
221,seed221,True,12.355152799634029,success,2284.7295038700104,113,212,seed221,True,True,True,False,False,True,
202,seed202,False,110.8239543508973,max_epochs,6082.755675077438,113,213,seed202,False,True,False,False,False,False,
219,seed219,True,19.00493340904672,success,3273.017091989517,114,214,seed219,True,True,False,False,False,False,
205,seed205,False,23.60943748954025,max_epochs,6051.11873793602,114,215,seed205,False,True,False,False,False,False,
206,seed206,False,111.81871955454233,max_epochs,6149.393830537796,114,216,seed206,False,True,False,False,False,False,
233,seed233,True,12.57049773664653,success,1192.8068962097168,115,217,seed233,True,True,True,False,False,True,
209,seed209,False,110.87192375694951,max_epochs,6037.7678644657135,115,218,seed209,False,True,False,False,False,False,
210,seed210,False,100.24149304249732,max_epochs,5984.7121489048,115,219,seed210,False,True,False,False,False,False,
230,seed230,True,18.28916536426223,success,1865.996416568756,116,220,seed230,True,True,True,False,False,True,
212,seed212,False,110.79830474358174,max_epochs,5941.400610923767,116,221,seed212,False,True,False,False,False,False,
215,seed215,False,110.80543433531749,max_epochs,5941.43788933754,116,222,seed215,False,True,False,False,False,False,
218,seed218,False,62.76732294026715,max_epochs,5937.367582321167,116,223,seed218,False,True,False,False,False,False,
216,seed216,False,110.79142329931524,max_epochs,6281.308092832565,116,224,seed216,False,True,False,False,False,False,
235,seed235,True,12.006596939042256,success,1751.7330577373505,117,225,seed235,True,True,True,False,False,True,
220,seed220,False,27.971309156013227,max_epochs,5979.974341869354,117,226,seed220,False,True,True,False,False,True,
242,seed242,True,19.062892751620065,success,860.3806374073029,118,227,seed242,True,True,True,False,False,True,
236,seed236,True,16.896570220896223,success,2113.830436706543,119,228,seed236,True,True,True,False,False,True,
226,seed226,True,17.30926983446304,success,4170.419719934464,120,229,seed226,True,True,False,False,False,False,
239,seed239,True,12.293329710561313,success,2500.286365032196,121,230,seed239,True,True,False,False,False,False,
247,seed247,True,9.137015333650885,success,1245.6038093566897,122,231,seed247,True,True,True,False,False,True,
224,seed224,False,108.98232355945628,max_epochs,5900.929147005081,122,232,seed224,False,True,False,False,False,False,
223,seed223,False,32.069362285943114,max_epochs,6006.490944623947,122,233,seed223,False,True,False,False,False,False,
248,seed248,True,12.267242813655104,success,1146.663598060608,123,234,seed248,True,True,True,False,False,True,
245,seed245,True,13.908531614813416,success,2588.073344945908,124,235,seed245,True,True,True,False,False,True,
246,seed246,True,16.77062840558528,success,2297.471395015717,125,236,seed246,True,True,False,False,False,False,
227,seed227,False,110.87079532469018,max_epochs,5983.830130815506,125,237,seed227,False,True,False,False,False,False,
229,seed229,False,110.90880900334544,max_epochs,5943.309198856354,125,238,seed229,False,True,False,False,False,False,
228,seed228,False,110.76805894709176,max_epochs,6019.904797554016,125,239,seed228,False,True,False,False,False,False,
225,seed225,False,52.06368075512847,max_epochs,6520.762700557709,125,240,seed225,False,True,False,False,False,False,
231,seed231,False,50.10816852760462,max_epochs,6028.072629451752,125,241,seed231,False,True,False,False,False,False,
