setting,seed_label,best_loss,hit_epoch,hit_candidate_evaluations,hit_loss
B=200,seed233,12.57049773664653,155.0,31000.0,12.57049773664653
B=200,seed230,18.28916536426223,243.0,48600.0,18.28916536426223
B=200,seed235,12.006596939042256,236.0,47200.0,12.006596939042256
B=200,seed242,19.062892751620065,105.0,21000.0,19.062892751620065
B=200,seed236,16.896570220896223,276.0,55200.0,16.896570220896223
B=200,seed226,17.30926983446304,556.0,111200.0,17.30926983446304
B=200,seed239,12.293329710561313,325.0,65000.0,12.293329710561313
B=200,seed247,9.137015333650885,156.0,31200.0,9.137015333650885
B=200,seed248,12.267242813655104,145.0,29000.0,12.267242813655104
B=200,seed245,13.908531614813416,338.0,67600.0,13.908531614813416
B=200,seed246,16.77062840558528,303.0,60600.0,16.77062840558528
B=200,seed254,19.543524273044444,108.0,21600.0,19.543524273044444
B=200,seed255,19.47738977907793,155.0,31000.0,19.47738977907793
B=200,seed260,19.54920767166961,226.0,45200.0,19.54920767166961
B=200,seed257,19.996546007780218,272.0,54400.0,19.996546007780218
B=200,seed262,19.96650445995059,224.0,44800.0,19.96650445995059
B=200,seed249,19.44664234501261,565.0,113000.0,19.44664234501261
B=200,seed252,17.69334811974734,612.0,122400.0,17.69334811974734
B=200,seed259,10.957863120774078,457.0,91400.0,10.957863120774078
B=200,seed264,19.656593835187067,345.0,69000.0,19.656593835187067
B=200,seed274,17.525924610057608,169.0,33800.0,17.525924610057608
B=200,seed277,19.950086564399776,149.0,29800.0,19.950086564399776
B=200,seed273,16.54709123154258,304.0,60800.0,16.54709123154258
B=200,seed267,14.907674568770974,531.0,106200.0,14.907674568770974
B=200,seed284,14.145199475539298,132.0,26400.0,14.145199475539298
B=200,seed281,14.773729987217106,269.0,53800.0,14.773729987217106
B=200,seed280,19.20710965603277,277.0,55400.0,19.20710965603277
B=200,seed276,14.80087615706,488.0,97600.0,14.80087615706
B=200,seed285,12.909359071571457,242.0,48400.0,12.909359071571457
B=200,seed270,19.29549028043909,740.0,148000.0,19.29549028043909
B=200,seed278,14.769097849929652,465.0,93000.0,14.769097849929652
B=200,seed283,19.59397014799769,373.0,74600.0,19.59397014799769
B=200,seed275,18.65996991449432,629.0,125800.0,18.65996991449432
B=200,seed286,7.595291588483091,286.0,57200.0,7.595291588483091
B=200,seed287,18.6562635118187,312.0,62400.0,18.6562635118187
B=200,seed291,14.619580579536947,232.0,46400.0,14.619580579536947
B=200,seed297,10.440397628342186,209.0,41800.0,10.440397628342186
B=200,seed305,17.263042417321067,176.0,35200.0,17.263042417321067
B=200,seed294,14.808352339664252,403.0,80600.0,14.808352339664252
B=200,seed301,16.692431179932335,375.0,75000.0,16.692431179932335
B=200,seed293,16.26559657205393,500.0,100000.0,16.26559657205393
B=200,seed308,19.47387347725489,218.0,43600.0,19.47387347725489
B=200,seed310,12.687315112145304,181.0,36200.0,12.687315112145304
B=200,seed307,11.644352607973934,414.0,82800.0,11.644352607973934
B=200,seed304,18.253819794035184,600.0,120000.0,18.253819794035184
B=200,seed311,17.531175572006227,307.0,61400.0,17.531175572006227
B=200,seed299,9.84639199221898,716.0,143200.0,9.84639199221898
B=200,seed309,17.389808063257117,371.0,74200.0,17.389808063257117
B=200,seed316,18.1364578230502,125.0,25000.0,18.1364578230502
B=200,seed314,16.048743257259783,354.0,70800.0,16.048743257259783
B=200,seed318,5.759568791831576,223.0,44600.0,5.759568791831576
B=200,seed322,17.592415051238277,168.0,33600.0,17.592415051238277
B=200,seed324,11.92961198854054,193.0,38600.0,11.92961198854054
B=200,seed327,18.89728091257004,150.0,30000.0,18.89728091257004
B=200,seed317,18.45716615547541,347.0,69400.0,18.45716615547541
B=200,seed328,16.17363088623484,197.0,39400.0,16.17363088623484
B=200,seed335,8.8735586736627,130.0,26000.0,8.8735586736627
B=200,seed312,18.82967323010453,679.0,135800.0,18.82967323010453
B=200,seed331,19.19294349644946,330.0,66000.0,19.19294349644946
B=200,seed339,16.163841413031086,189.0,37800.0,16.163841413031086
B=200,seed338,13.36812572964286,195.0,39000.0,13.36812572964286
B=200,seed341,19.88382027413984,226.0,45200.0,19.88382027413984
B=200,seed342,16.88950360511356,185.0,37000.0,16.88950360511356
B=200,seed325,14.608207057775155,651.0,130200.0,14.608207057775155
B=200,seed343,10.007598837919383,277.0,55400.0,10.007598837919383
B=200,seed348,19.882755263213777,155.0,31000.0,19.882755263213777
B=200,seed347,18.109022467543177,168.0,33600.0,18.109022467543177
B=200,seed337,19.97160672714434,649.0,129800.0,19.97160672714434
B=200,seed352,11.366242881204837,143.0,28600.0,11.366242881204837
B=200,seed350,18.80081760041004,188.0,37600.0,18.80081760041004
B=200,seed351,14.871309000239169,252.0,50400.0,14.871309000239169
B=200,seed358,8.737762156600741,169.0,33800.0,8.737762156600741
B=200,seed359,17.713726168970805,144.0,28800.0,17.713726168970805
B=200,seed362,19.825310562457844,166.0,33200.0,19.825310562457844
B=200,seed366,19.637674542341195,301.0,60200.0,19.637674542341195
B=200,seed365,16.28884740637179,348.0,69600.0,16.28884740637179
B=200,seed367,15.18591173882371,371.0,74200.0,15.18591173882371
B=200,seed353,16.376598692475735,599.0,119800.0,16.376598692475735
B=200,seed373,5.283038692001132,196.0,39200.0,5.283038692001132
B=200,seed356,18.41633445136696,750.0,150000.0,18.41633445136696
B=200,seed364,16.996034181126976,665.0,133000.0,16.996034181126976
B=200,seed378,16.178706196416947,261.0,52200.0,16.178706196416947
B=200,seed372,19.806650934064024,520.0,104000.0,19.806650934064024
B=200,seed375,14.068055190104168,480.0,96000.0,14.068055190104168
B=200,seed374,17.75766022235917,522.0,104400.0,17.75766022235917
B=200,seed387,13.940615214600992,170.0,34000.0,13.940615214600992
B=200,seed385,16.003676402442295,294.0,58800.0,16.003676402442295
B=200,seed388,13.845117555167157,236.0,47200.0,13.845117555167157
B=200,seed386,18.143321370258988,314.0,62800.0,18.143321370258988
B=200,seed389,14.765710648898937,218.0,43600.0,14.765710648898937
B=200,seed391,13.403625924571084,346.0,69200.0,13.403625924571084
B=200,seed399,17.97790536791971,211.0,42200.0,17.97790536791971
B=200,seed392,12.056868976566523,372.0,74400.0,12.056868976566523
B=200,seed379,19.68535696655579,771.0,154200.0,19.68535696655579
B=200,seed397,19.06369481951808,374.0,74800.0,19.06369481951808
B=200,seed398,19.64025810441593,391.0,78200.0,19.64025810441593
