crn_rank_excluded_index,reaction_i,reaction_j,reaction_i_text,reaction_j_text,zeta_i,zeta_j,passing_ordered_pairs,rank_S_upper_bound,required_rank,exclusion_reason
120,3,303,0 -> X4+X5,X1 -> X4,"(0, 0, 0, 1, 1)","(-1, 0, 0, 1, 0)",3->303;303->3,2,5,rank(S) <= m = 2 < n = 5
121,3,304,0 -> X4+X5,X1 -> X4+X5,"(0, 0, 0, 1, 1)","(-1, 0, 0, 1, 1)",3->304;304->3,2,5,rank(S) <= m = 2 < n = 5
122,3,305,0 -> X4+X5,X1 -> 2X4,"(0, 0, 0, 1, 1)","(-1, 0, 0, 2, 0)",3->305;305->3,2,5,rank(S) <= m = 2 < n = 5
123,3,306,0 -> X4+X5,X1 -> X3,"(0, 0, 0, 1, 1)","(-1, 0, 1, 0, 0)",3->306;306->3,2,5,rank(S) <= m = 2 < n = 5
124,3,307,0 -> X4+X5,X1 -> X3+X5,"(0, 0, 0, 1, 1)","(-1, 0, 1, 0, 1)",3->307;307->3,2,5,rank(S) <= m = 2 < n = 5
125,3,308,0 -> X4+X5,X1 -> X3+X4,"(0, 0, 0, 1, 1)","(-1, 0, 1, 1, 0)",3->308;308->3,2,5,rank(S) <= m = 2 < n = 5
126,3,309,0 -> X4+X5,X1 -> 2X3,"(0, 0, 0, 1, 1)","(-1, 0, 2, 0, 0)",3->309;309->3,2,5,rank(S) <= m = 2 < n = 5
127,3,310,0 -> X4+X5,X1 -> X2,"(0, 0, 0, 1, 1)","(-1, 1, 0, 0, 0)",3->310;310->3,2,5,rank(S) <= m = 2 < n = 5
128,3,311,0 -> X4+X5,X1 -> X2+X5,"(0, 0, 0, 1, 1)","(-1, 1, 0, 0, 1)",3->311;311->3,2,5,rank(S) <= m = 2 < n = 5
129,3,312,0 -> X4+X5,X1 -> X2+X4,"(0, 0, 0, 1, 1)","(-1, 1, 0, 1, 0)",3->312;312->3,2,5,rank(S) <= m = 2 < n = 5
130,3,313,0 -> X4+X5,X1 -> X2+X3,"(0, 0, 0, 1, 1)","(-1, 1, 1, 0, 0)",3->313;313->3,2,5,rank(S) <= m = 2 < n = 5
131,3,314,0 -> X4+X5,X1 -> 2X2,"(0, 0, 0, 1, 1)","(-1, 2, 0, 0, 0)",3->314;314->3,2,5,rank(S) <= m = 2 < n = 5
132,3,315,0 -> X4+X5,X1 -> X1+X5,"(0, 0, 0, 1, 1)","(0, 0, 0, 0, 1)",3->315;315->3,2,5,rank(S) <= m = 2 < n = 5
133,3,316,0 -> X4+X5,X1 -> X1+X4,"(0, 0, 0, 1, 1)","(0, 0, 0, 1, 0)",3->316;316->3,2,5,rank(S) <= m = 2 < n = 5
134,3,317,0 -> X4+X5,X1 -> X1+X3,"(0, 0, 0, 1, 1)","(0, 0, 1, 0, 0)",3->317;317->3,2,5,rank(S) <= m = 2 < n = 5
135,3,318,0 -> X4+X5,X1 -> X1+X2,"(0, 0, 0, 1, 1)","(0, 1, 0, 0, 0)",3->318;318->3,2,5,rank(S) <= m = 2 < n = 5
136,3,319,0 -> X4+X5,X1 -> 2X1,"(0, 0, 0, 1, 1)","(1, 0, 0, 0, 0)",3->319;319->3,2,5,rank(S) <= m = 2 < n = 5
137,3,400,0 -> X4+X5,2X1 -> 0,"(0, 0, 0, 1, 1)","(-2, 0, 0, 0, 0)",3->400;400->3,2,5,rank(S) <= m = 2 < n = 5
138,3,401,0 -> X4+X5,2X1 -> X5,"(0, 0, 0, 1, 1)","(-2, 0, 0, 0, 1)",3->401;401->3,2,5,rank(S) <= m = 2 < n = 5
139,3,402,0 -> X4+X5,2X1 -> 2X5,"(0, 0, 0, 1, 1)","(-2, 0, 0, 0, 2)",3->402;402->3,2,5,rank(S) <= m = 2 < n = 5
140,3,403,0 -> X4+X5,2X1 -> X4,"(0, 0, 0, 1, 1)","(-2, 0, 0, 1, 0)",3->403;403->3,2,5,rank(S) <= m = 2 < n = 5
141,3,404,0 -> X4+X5,2X1 -> X4+X5,"(0, 0, 0, 1, 1)","(-2, 0, 0, 1, 1)",3->404;404->3,2,5,rank(S) <= m = 2 < n = 5
142,3,405,0 -> X4+X5,2X1 -> 2X4,"(0, 0, 0, 1, 1)","(-2, 0, 0, 2, 0)",3->405;405->3,2,5,rank(S) <= m = 2 < n = 5
143,3,406,0 -> X4+X5,2X1 -> X3,"(0, 0, 0, 1, 1)","(-2, 0, 1, 0, 0)",3->406;406->3,2,5,rank(S) <= m = 2 < n = 5
144,3,407,0 -> X4+X5,2X1 -> X3+X5,"(0, 0, 0, 1, 1)","(-2, 0, 1, 0, 1)",3->407;407->3,2,5,rank(S) <= m = 2 < n = 5
145,3,408,0 -> X4+X5,2X1 -> X3+X4,"(0, 0, 0, 1, 1)","(-2, 0, 1, 1, 0)",3->408;408->3,2,5,rank(S) <= m = 2 < n = 5
146,3,409,0 -> X4+X5,2X1 -> 2X3,"(0, 0, 0, 1, 1)","(-2, 0, 2, 0, 0)",3->409;409->3,2,5,rank(S) <= m = 2 < n = 5
147,3,410,0 -> X4+X5,2X1 -> X2,"(0, 0, 0, 1, 1)","(-2, 1, 0, 0, 0)",3->410;410->3,2,5,rank(S) <= m = 2 < n = 5
